tasters,Georges Duboeuf Gamay,Williams Selyem Pinot Noir,Siduri Pinot Noir,Testarossa Pinot Noir,Louis Latour Chardonnay,Dr. Loosen Riesling,Louis Latour Pinot Noir,Testarossa Chardonnay
Roger Voss,78.9,76.7,78.3,76.9,79.2,79.4,79.6,78.0
Michael Schachner,80.5,80.1,80.9,79.4,81.4,79.3,79.8,78.2
Kerin O’Keefe,80.8,79.1,80.8,79.8,80.2,78.3,80.0,80.7
Virginie Boone,81.0,79.1,81.3,81.3,80.9,80.2,81.1,80.4
Paul Gregutt,81.0,81.1,80.5,79.5,79.9,81.8,80.6,79.8
Matt Kettmann,81.5,80.4,80.2,82.3,81.4,83.4,82.2,82.4
Joe Czerwinski,79.2,80.5,80.1,79.3,78.1,78.9,81.8,80.7
Sean P. Sullivan,80.0,79.2,79.0,80.3,78.5,80.0,78.6,77.5
Anna Lee C. Iijima,81.0,78.9,79.0,79.5,78.5,79.1,80.2,79.4
Jim Gordon,81.0,80.3,79.5,79.2,80.0,79.5,79.7,78.7
Anne Krebiehl MW,78.9,77.3,79.2,79.4,77.8,78.0,78.0,79.2
Lauren Buzzeo,79.4,78.8,79.4,80.7,80.9,81.2,80.5,80.0
Susan Kostrzewa,78.0,77.4,78.8,78.6,79.1,78.0,80.8,78.5
Mike DeSimone,82.4,78.8,81.2,79.6,80.0,81.1,78.5,80.1
Jeff Jenssen,80.2,81.1,79.2,80.8,79.1,80.5,80.7,79.2
Alexander Peartree,78.8,77.8,81.5,81.0,82.7,81.3,80.2,80.5
Carrie Dykes,80.2,77.3,78.8,79.8,80.0,78.1,78.5,79.6
Fiona Adams,78.6,79.9,79.4,80.9,79.8,80.6,79.2,79.8
Christina Pickard,81.9,81.3,82.2,81.0,83.8,79.3,82.3,79.8
