MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
60,65.0,8450,7,5,2003,2003,196.0,706,0,150,856,854,0,1710,1,0,2,1,3,1,0,548,0,61,0,0,0,0,0,2,2008,222264
20,80.0,9600,6,8,1976,1976,0.0,978,0,284,1262,0,0,1262,0,1,2,0,3,1,1,460,298,0,0,0,0,0,0,5,2007,217555
60,68.0,11250,7,5,2001,2002,162.0,486,0,434,920,866,0,1786,1,0,2,1,3,1,1,608,0,42,0,0,0,0,0,9,2008,270819
70,60.0,9550,7,5,1915,1970,0.0,216,0,540,961,756,0,1717,1,0,1,0,3,1,1,642,0,35,272,0,0,0,0,2,2006,176732
60,84.0,14260,8,5,2000,2000,350.0,655,0,490,1145,1053,0,2198,1,0,2,1,4,1,1,836,192,84,0,0,0,0,0,12,2008,310680
50,85.0,14115,5,5,1993,1995,0.0,732,0,64,796,566,0,1362,1,0,1,1,1,1,0,480,40,30,0,320,0,0,700,10,2009,154002
20,75.0,10084,8,5,2004,2005,186.0,1369,0,317,1694,0,0,1694,1,0,2,0,3,1,1,636,255,57,0,0,0,0,0,8,2007,268011
60,69.0,10382,7,6,1973,1973,240.0,859,32,216,1107,983,0,2090,1,0,2,1,3,1,2,484,235,204,228,0,0,0,350,11,2009,260407
50,51.0,6120,7,5,1931,1950,0.0,0,0,952,1022,752,0,1774,0,0,2,0,2,2,2,468,90,0,205,0,0,0,0,4,2008,115571
190,50.0,7420,5,6,1939,1950,0.0,851,0,140,1077,0,0,1077,1,0,1,0,2,2,2,205,0,4,0,0,0,0,0,1,2008,112260
20,70.0,11200,5,5,1965,1965,0.0,906,0,134,1040,0,0,1040,1,0,1,0,3,1,0,384,0,0,0,0,0,0,0,2,2008,116665
60,85.0,11924,9,5,2005,2006,286.0,998,0,177,1182,1142,0,2324,1,0,3,0,4,1,2,736,147,21,0,0,0,0,0,7,2006,290748
20,69.0,12968,5,6,1962,1962,0.0,737,0,175,912,0,0,912,1,0,1,0,2,1,0,352,140,0,0,0,176,0,0,9,2008,99050
20,91.0,10652,7,5,2006,2007,306.0,0,0,1494,1494,0,0,1494,0,0,2,0,3,1,1,840,160,33,0,0,0,0,0,8,2007,310599
20,69.0,10920,6,5,1960,1960,212.0,733,0,520,1253,0,0,1253,1,0,1,1,2,1,1,352,0,213,176,0,0,0,0,5,2008,164349
45,51.0,6120,7,8,1929,2001,0.0,0,0,832,854,0,0,854,0,0,1,0,2,1,0,576,48,112,0,0,0,0,0,7,2007,106468
20,69.0,11241,6,7,1970,1970,180.0,578,0,426,1004,0,0,1004,1,0,1,0,2,1,1,480,0,0,0,0,0,0,700,3,2010,184563
90,72.0,10791,4,5,1967,1967,0.0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,0,516,0,0,0,0,0,0,500,10,2006,101479
20,66.0,13695,5,5,2004,2004,0.0,646,0,468,1114,0,0,1114,1,0,1,1,3,1,0,576,0,102,0,0,0,0,0,6,2008,138840
20,70.0,7560,5,6,1958,1965,0.0,504,0,525,1339,0,0,1339,0,0,1,0,3,1,0,294,0,0,0,0,0,0,0,5,2009,128980
60,101.0,14215,8,5,2005,2006,380.0,0,0,1158,1158,1218,0,2376,0,0,3,1,4,1,1,853,240,154,0,0,0,0,0,11,2006,374494
45,57.0,7449,7,7,1930,1950,0.0,0,0,637,1108,0,0,1108,0,0,1,0,3,1,1,280,0,0,205,0,0,0,0,6,2007,141631
20,75.0,9742,8,5,2002,2002,281.0,0,0,1777,1795,0,0,1795,0,0,2,0,3,1,1,534,171,159,0,0,0,0,0,9,2008,243405
120,44.0,4224,5,7,1976,1976,0.0,840,0,200,1060,0,0,1060,1,0,1,0,3,1,1,572,100,110,0,0,0,0,0,6,2007,208315
20,69.0,8246,5,8,1968,2001,0.0,188,668,204,1060,0,0,1060,1,0,1,0,3,1,1,270,406,90,0,0,0,0,0,5,2010,159660
20,110.0,14230,8,5,2007,2007,640.0,0,0,1566,1600,0,0,1600,0,0,2,0,3,1,1,890,0,56,0,0,0,0,0,7,2009,252810
20,60.0,7200,5,7,1951,2000,0.0,234,486,180,900,0,0,900,0,1,1,0,3,1,0,576,222,32,0,0,0,0,0,5,2010,136573
20,98.0,11478,8,5,2007,2008,200.0,1218,0,486,1704,0,0,1704,1,0,2,0,3,1,1,772,0,50,0,0,0,0,0,5,2010,276007
20,47.0,16321,5,6,1957,1997,0.0,1277,0,207,1600,0,0,1600,1,0,1,0,2,1,2,319,288,258,0,0,0,0,0,12,2006,167654
30,60.0,6324,4,6,1927,1950,0.0,0,0,520,520,0,0,520,0,0,1,0,1,1,0,240,49,0,87,0,0,0,0,5,2008,102477
70,50.0,8500,4,4,1920,1950,0.0,0,0,649,649,668,0,1317,0,0,1,0,3,1,0,250,0,54,172,0,0,0,0,7,2008,79432
20,69.0,8544,5,6,1966,2006,0.0,0,0,1228,1228,0,0,1228,0,0,1,1,3,1,0,271,0,65,0,0,0,0,0,6,2008,113852
20,85.0,11049,8,5,2007,2007,0.0,0,0,1234,1234,0,0,1234,0,0,2,0,3,1,0,484,0,30,0,0,0,0,0,1,2008,213942
20,70.0,10552,5,5,1959,1959,0.0,1018,0,380,1700,0,0,1700,0,1,1,1,4,1,1,447,0,38,0,0,0,0,0,4,2010,150498
120,60.0,7313,9,5,2005,2005,246.0,1153,0,408,1561,0,0,1561,1,0,2,0,2,1,1,556,203,47,0,0,0,0,0,8,2007,284086
60,108.0,13418,8,5,2004,2005,132.0,0,0,1117,1132,1320,0,2452,0,0,3,1,4,1,1,691,113,32,0,0,0,0,0,9,2006,282687
20,112.0,10859,5,5,1994,1995,0.0,0,0,1097,1097,0,0,1097,0,0,1,1,3,1,0,672,392,64,0,0,0,0,0,6,2009,146135
20,74.0,8532,5,6,1954,1990,650.0,1213,0,84,1297,0,0,1297,0,1,1,0,3,1,1,498,0,0,0,0,0,0,0,10,2009,121630
20,68.0,7922,5,7,1953,2007,0.0,731,0,326,1057,0,0,1057,1,0,1,0,3,1,0,246,0,52,0,0,0,0,0,1,2010,131795
90,65.0,6040,4,5,1955,1955,0.0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,6,2008,107436
20,84.0,8658,6,5,1965,1965,101.0,643,0,445,1324,0,0,1324,0,0,2,0,3,1,1,440,0,138,0,0,0,0,0,12,2006,160672
20,115.0,16905,5,6,1959,1959,0.0,967,0,383,1328,0,0,1328,0,1,1,1,2,1,2,308,0,104,0,0,0,0,0,7,2007,138267
85,69.0,9180,5,7,1983,1983,0.0,747,93,0,884,0,0,884,1,0,1,0,2,1,0,504,240,0,0,0,0,0,0,12,2007,139082
20,69.0,9200,5,6,1975,1980,0.0,280,491,167,938,0,0,938,1,0,1,0,3,1,0,308,145,0,0,0,0,0,0,7,2008,112257
20,70.0,7945,5,6,1959,1959,0.0,179,506,465,1150,0,0,1150,1,0,1,0,3,1,0,300,0,0,0,0,0,0,0,5,2006,119627
120,61.0,7658,9,5,2005,2005,412.0,456,0,1296,1752,0,0,1752,1,0,2,0,2,1,1,576,196,82,0,0,0,0,0,2,2010,285696
50,48.0,12822,7,5,2003,2003,0.0,1351,0,83,1518,631,0,2149,1,0,1,1,1,1,1,670,168,43,0,0,198,0,0,8,2009,313033
